gvkey,fyear,datadate,at,isin,conm,fic,sic
025052,2019,20191231,461674.0000,ZAE000127148,LIBERTY HOLDINGS,ZAF,6300
025232,2019,20200331,169203.0860,MYL1015OO006,AMMB HOLDINGS BHD,MYS,6020
025251,2019,20191231,50075052.0000,KR7005940002,NH INVESTMENT & SECURITIES,KOR,6211
025256,2019,20191231,133149797.3260,KR7006800007,MIRAE ASSET SECURITIES CO,KOR,6211
025259,2019,20191231,72397722.9880,KR7139130009,DGB FINANCIAL GROUP CO LTD,KOR,6020
025466,2019,20191231,5446.3720,NL0011585146,FERRARI NV,NLD,3711
025607,2019,20191231,3012216.1200,TH0150010Z03,KRUNG THAI BANK PCL,THA,6020
025608,2019,20191231,2963746.3190,TH0015010000,SIAM COMMERCIAL BANK,THA,6020
025609,2019,20191231,3216743.0950,TH0001010006,BANGKOK BANK PCL,THA,6020
025648,2019,20191231,83091.0000,CH0012032048,ROCHE HOLDING AG,CHE,2834
025714,2019,20191231,552419581.0000,KR7055550008,SHINHAN FINANCIAL GROUP LTD,KOR,6020
025753,2019,20191231,2353690.7140,CLP249051044,COMPANIA CERVECERIAS UNIDAS,CHL,2082
027833,2019,20191231,3293888.9890,TH0016010009,KASIKORNBANK PCL,THA,6020
028272,2019,20191231,61377.0000,GB0009895292,ASTRAZENECA PLC,GBR,2834
028286,2019,20191231,2301.7000,NO0010199151,PGS ASA,NOR,1382
028456,2019,20191231,7224.2000,LU0075646355,SUBSEA 7 SA,LUX,1389
028520,2019,20191231,1573289.0000,ARP9897X1319,YACIMIENTOS PETE FISCALES SA,ARG,2911
028838,2019,20191231,787295.0000,CH0012138530,CREDIT SUISSE GROUP,CHE,6211
028839,2019,20191231,4391.8960,ES0161560018,NH HOTEL GROUP SA,ESP,7011
029194,2019,20191231,578150.0000,ARP9028N1016,TELECOM ARGENTINA,ARG,4812
030452,2019,20191231,1378527.6850,BRBBDCACNPR8,BRADESCO BANCO,BRA,6020
030462,2019,20191231,44292.9900,MX01KU000012,GRUPO KUO SAB DE CV,MEX,9997
030466,2019,20191231,36339.2620,MX01PA0B0014,BIO PAPPEL SAB DE CV,MEX,2631
030471,2019,20191231,8442.5600,CL0001880955,AES GENER SA,CHL,4911
030501,2019,20191231,518538117.0000,KR7105560007,KB FINANCIAL GROUP,KOR,6020
030538,2019,20191231,3587198.7770,CLP3710M1090,ENEL GENERACION CHILE SA,CHL,4911
030580,2019,20191231,1637481.0000,BRITUBACNPR1,ITAU UNIBANCO HLDG SA,BRA,6020
030581,2019,20191231,1469222.6550,BRBBASACNOR3,BANCO DO BRASIL,BRA,6020
030725,2019,20191231,515480.0000,RU000A0JNAA8,POLYUS PJSC,RUS,1040
030874,2019,20191231,197597792.0000,KR7015760002,KEPCO-KOREA ELEC POWER CORP,KOR,4911
031142,2019,20191231,11868.0000,NL0000226223,STMICROELECTRONICS NV,NLD,3674
031161,2019,20191231,1858190.2750,TH0068010Z07,TMB BANK PCL,THA,6020
031205,2019,20191231,637541.0000,MXP320321310,FOMENTO ECONOMICO MEXICANO,MEX,2086
031207,2019,20191231,2057.6340,MX01GC2M0006,GRUPO CEMENTOS DE CHIHUAHUA,MEX,3270
031882,2019,20191231,144.1150,PTPTC0AM0009,PHAROL SGPS SA,PRT,4813
061214,2019,20191231,22629.6000,NL0010273215,ASML HOLDING NV,NLD,3559
061440,2019,20191231,12304.0000,NL0000009082,KONINKLIJKE KPN NV,NLD,4813
061533,2019,20191231,8502.0500,ID1000062201,INDAH KIAT PULP & PAPER (PT),IDN,2621
061616,2019,20191231,123440.0000,IT0003132476,ENI SPA,ITA,2911
061761,2019,20191231,348106.2020,MX01EL000003,GRUPO ELEKTRA SA DE CV,MEX,5331
062410,2019,20191231,63457.6210,GRS015003007,ALPHA SERVICES AND HOLDINGS,GRC,6020
062824,2019,20191231,60656.7780,TW0002337003,MACRONIX INTL CO LTD,TWN,3674
062997,2019,20190930,22459.6000,ZAE000071676,NAMPAK LTD,ZAF,3411
063120,2019,20191231,780878.0000,FR0000120628,AXA SA,FRA,6311
063169,2019,20191231,13872.6000,FR0000130650,DASSAULT SYSTEMS SA,FRA,7372
063186,2019,20191231,5235.6160,NL0012169213,QIAGEN NV,NLD,3826
064835,2019,20200331,14747.2000,IE00BYTBXV33,RYANAIR HOLDINGS PLC,IRL,4512
064894,2019,20191231,66424.0000,SE0012455673,BOLIDEN AB,SWE,3330
064910,2019,20191231,42361.6460,PTEDP0AM0009,EDP-ENERGIAS DE PORTUGAL SA,PRT,4911
065248,2019,20191231,87908.0000,LU1598757687,ARCELORMITTAL,LUX,3312
065423,2019,20191231,8964.0000,SE0000412371,MODERN TIMES GROUP MTG AB,SWE,4833
065662,2019,20191231,1629240.0000,HK0941009539,CHINA MOBILE LTD,HKG,4812
066600,2019,20191231,297278.5120,TW0001102002,ASIA CEMENT CORP,TWN,3241
100001,2019,20191231,13904.0000,FR0000120404,ACCOR SA,FRA,7011
100012,2019,20200331,4985690.0000,JP3900000005,MITSUBISHI HEAVY INDUST LTD,JPN,3510
100013,2019,20191231,2392.1880,FR0000120966,BIC SOCIETE,FRA,3950
100022,2019,20191231,228034.0000,DE0005190003,BAYER MOTOREN WERKE AG,DEU,3711
100031,2019,20200331,91.4000,GB0009067447,MOTHERCARE PLC,GBR,5600
100041,2019,20190831,746.0000,GB00B2PDGW16,WH SMITH PLC,GBR,5940
100042,2019,20191231,18846.0000,DE0005937007,MAN SE,DEU,3711
100045,2019,20190731,5318.0000,GB00B1WY2338,SMITHS GROUP PLC,GBR,3812
100050,2019,20191231,102016.4000,MYL3182OO002,GENTING BHD,MYS,7990
100054,2019,20191231,17901.5290,DE0006070006,HOCHTIEF AG,DEU,1540
100057,2019,20191231,1823.6000,GB00BGLP8L22,IMI PLC,GBR,3490
100060,2019,20191231,6440.0000,GB0007739609,TRAVIS PERKINS PLC,GBR,5211
100076,2019,20191231,31321.5600,SG1U68934629,KEPPEL CORPORATION LTD,SGP,1389
100080,2019,20191231,126258.0000,DE000BAY0017,BAYER AG,DEU,2800
100091,2019,20191231,3394.4000,GB00B082RF11,RENTOKIL INITIAL PLC,GBR,7340
100095,2019,20191231,5920.0000,GB00B0744B38,BUNZL PLC,GBR,5110
100102,2019,20191231,3354.8000,DE0005909006,BILFINGER SE,DEU,1600
100103,2019,20191231,42659.0000,DE0008232125,DEUTSCHE LUFTHANSA AG,DEU,4512
100132,2019,20200131,10920.0000,GB0006043169,MORRISON (WM) SUPERMARKETS,GBR,5411
100135,2019,20200331,2851.0000,GB0008754136,TATE & LYLE PLC,GBR,2060
100140,2019,20200331,576621.0000,JP3675600005,NISSIN FOOD HLDGS CO LTD,JPN,2030
100145,2019,20200331,1719690.0000,JP3402600005,SUMITOMO METAL MINING CO LTD,JPN,3330
100149,2019,20200131,3673.3000,GB0032089863,NEXT PLC,GBR,5651
100155,2019,20200331,7444965.0000,JP3381000003,NIPPON STEEL CORP,JPN,3312
100158,2019,20200331,8011292.0000,JP3386450005,ENEOS HOLDINGS INC,JPN,2911
100165,2019,20191231,16509.0000,AU000000STO6,SANTOS LTD,AUS,1311
100166,2019,20190930,47388.0000,ZAE000026639,BARLOWORLD LTD,ZAF,5080
100171,2019,20190630,7187.5000,GB0000811801,BARRATT DEVELOPMENTS PLC,GBR,1520
100174,2019,20200331,1937.8000,GB0004052071,HALMA PLC,GBR,3690
100192,2019,20191231,6578.9000,AU000000CCL2,COCA-COLA AMATIL LTD,AUS,2086
100208,2019,20200331,768861.0000,JP3743000006,NH FOODS LTD,JPN,2013
100223,2019,20191231,1891.0000,GB00BJFFLV09,CRODA INTERNATIONAL PLC,GBR,2800
100226,2019,20200331,2250230.0000,JP3914400001,MURATA MANUFACTURING CO LTD,JPN,3670
100234,2019,20200331,558595.0000,JP3122800000,AMADA CO LTD,JPN,3540
100235,2019,20200331,625542.0000,JP3126400005,ALPS ALPINE CO LTD,JPN,3670
100240,2019,20191231,1905.2000,GB0002418548,ELEMENTIS PLC,GBR,2800
100245,2019,20200331,355777.0000,JP3122400009,ADVANTEST CORP,JPN,3825
100247,2019,20200331,2560153.0000,JP3429800000,ANA HOLDINGS INC,JPN,4512
100251,2019,20190630,14821.0000,AU000000AGL7,AGL ENERGY,AUS,4932
100253,2019,20200331,1353616.0000,JP3119600009,AJINOMOTO CO INC,JPN,2030
100258,2019,20200331,2797975.0000,JP3111200006,ASAHI KASEI CORP,JPN,2800
100259,2019,20191231,2335415.0000,JP3112000009,AGC INC,JPN,3211
100272,2019,20191231,318416.0000,JP3297000006,KOKUYO CO LTD,JPN,2670
100280,2019,20191231,2104.5000,GB00B82YXW83,VESUVIUS PLC,GBR,3290
100288,2019,20200331,1957845.0000,JP3224200000,KAWASAKI HEAVY INDUSTR LTD,JPN,3790
100290,2019,20200331,673444.0000,JP3197600004,ONO PHARMACEUTICAL CO LTD,JPN,2834
100292,2019,20191231,985.1000,GB0006027295,MORGAN ADVANCED MATERIALS,GBR,3290
100301,2019,20191231,1301.2000,DE0006305006,DEUTZ AG,DEU,3510
100302,2019,20200331,7612729.0000,JP3228600007,KANSAI ELECTRIC POWER CO,JPN,4911
100306,2019,20200331,653262.0000,JP3215800008,KANEKA CORP,JPN,2800
100312,2019,20191231,7415.0000,DE0007030009,RHEINMETALL AG,DEU,3711
100336,2019,20200331,2105619.0000,JP3475350009,DAIICHI SANKYO COMPANY LTD,JPN,2834
100338,2019,20191231,13789.0000,GB00B2B0DG97,RELX PLC,GBR,2721
100346,2019,20191231,50802.0000,FR0000120172,CARREFOUR SA,FRA,5399
100362,2019,20200331,1740782.0000,JP3134800006,IHI CORP,JPN,3590
100365,2019,20200331,1959060.0000,JP3850200001,HOKKAIDO ELECTRIC POWER CO,JPN,4911
100369,2019,20191231,3946505.0000,JP3830800003,BRIDGESTONE CORP,JPN,3011
100373,2019,20191231,38588.7000,DE0006047004,HEIDELBERGCEMENT AG,DEU,3241
100382,2019,20200331,597992.0000,JP3485800001,DAICEL CORP,JPN,2820
100385,2019,20200331,501448.0000,JP3549600009,DENKA CO LTD,JPN,2800
100388,2019,20200331,347964.0000,JP3494600004,SCREEN HOLDINGS CO LTD,JPN,3559
100390,2019,20191231,4841.0000,GB0000961622,BALFOUR BEATTY PLC,GBR,8711
100408,2019,20191231,595239.0000,JP3166000004,EBARA CORP,JPN,3560
100418,2019,20200331,1062140.0000,JP3160400002,EISAI CO LTD,JPN,2834
100433,2019,20200331,811008.0000,JP3837800006,HOYA CORP,JPN,3851
100434,2019,20190630,9795.3000,ZAE000049433,AVI LTD,ZAF,2000
100435,2019,20200331,10919598.0000,JP3143600009,ITOCHU CORP,JPN,5000
100438,2019,20200331,369575.0000,JP3352400000,CITIZEN WATCH CO LTD,JPN,3873
100439,2019,20200331,3265374.0000,JP3522200009,CHUGOKU ELECTRIC POWER CO,JPN,4911
100441,2019,20191231,1058915.0000,JP3519400000,CHUGAI PHARMACEUTICAL CO LTD,JPN,2834
100442,2019,20190930,7294.0000,AU000000ORI1,ORICA LTD,AUS,2890
100444,2019,20200331,1363469.0000,JP3721600009,NIPPON PAPER INDUSTRIES CO,JPN,2600
100450,2019,20200331,5500815.0000,JP3526600006,CHUBU ELECTRIC POWER CO INC,JPN,4911
100461,2019,20190630,7730.3000,AU000000BXB1,BRAMBLES LTD,AUS,7359
100465,2019,20190630,469968.0000,ZAE000006896,SASOL LTD,ZAF,2911
100486,2019,20200331,1005881.0000,JP3657400002,NIKON CORP,JPN,3827
100488,2019,20200331,4948063.0000,JP3246400000,KYUSHU ELECTRIC POWER CO INC,JPN,4911
100490,2019,20200331,1276768.0000,JP3300600008,KONICA MINOLTA INC,JPN,3861
100491,2019,20200331,1244213.0000,JP3292200007,JTEKT CORP,JPN,3560
100498,2019,20190630,775.8250,GB0007323586,RENISHAW PLC,GBR,3829
100506,2019,20200430,5521.1000,GB00B0HZP136,GREENE KING PLC,GBR,5810
100516,2019,20191231,784453.0000,JP3256000005,KYOWA KIRIN CO LTD,JPN,2834
100519,2019,20200331,731472.0000,JP3830000000,BROTHER INDUSTRIES LTD,JPN,3570
100522,2019,20200331,7395359.0000,JP3893200000,MITSUI FUDOSAN CO LTD,JPN,6500
100526,2019,20200331,1223800.0000,JP3894900004,ISETAN MITSUKOSHI HOLDINGS,JPN,5311
100545,2019,20200331,6320037.0000,JP3877600001,MARUBENI CORP,JPN,5000
100547,2019,20200331,885969.0000,JP3870400003,MARUI GROUP CO LTD,JPN,5311
100548,2019,20200331,2787640.0000,JP3868400007,MAZDA MOTOR CORP,JPN,3711
100555,2019,20200331,18049661.0000,JP3898400001,MITSUBISHI CORP,JPN,5099
100562,2019,20191231,441397.0000,HK0019000162,SWIRE PACIFIC LTD,HKG,9997
100563,2019,20200331,771733.0000,JP3896800004,MITSUBISHI GAS CHEMICAL CO,JPN,2810
100565,2019,20200331,1904050.0000,JP3903000002,MITSUBISHI MATERIALS CORP,JPN,3360
100609,2019,20191231,42568.2000,DE0005439004,CONTINENTAL AG,DEU,3714
100635,2019,20191231,1091.1000,NL0010583399,CORBION NV,NLD,2090
100639,2019,20191231,638722.0000,JP3320800000,SAPPORO HOLDINGS LTD,JPN,2082
100640,2019,20200331,1102352.0000,JP3419400001,SEKISUI CHEMICAL CO LTD,JPN,1520
