Year,CompanyName,Country,Industry(Exiobase),EnvironmentalIntensity(Sales),Env_intensity,industry_avg,Industry_indicator,industry_avg_year,Industry_indicator_year,Environmental_Growth
2014, AAREAL BANK AG , Germany ," Financial intermediation, except insurance and pension funding (65) ",-0.09%,-0.0009,-0.0200715181932246,1,-0.03286305732484076,1,-18.181818181818187
2015, AAREAL BANK AG , Germany ," Financial intermediation, except insurance and pension funding (65) ",-0.22%,-0.0022,-0.0200715181932246,1,-0.013258677685950414,1,144.44444444444446
2010, AB SKF , Sweden ," Manufacture of fabricated metal products, except machinery and equipment (28) ",-1.63%,-0.0163,-0.022183805668016202,1,0.00013142857142857598,-1,
2011, AB SKF , Sweden ," Manufacture of fabricated metal products, except machinery and equipment (28) ",-1.42%,-0.014199999999999999,-0.022183805668016202,1,-0.007136842105263155,-1,-12.883435582822077
2012, AB SKF , Sweden ," Manufacture of fabricated metal products, except machinery and equipment (28) ",-1.63%,-0.0163,-0.022183805668016202,1,-0.0248675,1,14.7887323943662
2013, AB SKF , Sweden ," Manufacture of fabricated metal products, except machinery and equipment (28) ",-1.70%,-0.017,-0.022183805668016202,1,-0.027765116279069767,1,4.294478527607382
2014, AB SKF , Sweden ," Manufacture of fabricated metal products, except machinery and equipment (28) ",-1.79%,-0.0179,-0.022183805668016202,1,-0.034148780487804876,1,5.294117647058805
2015, AB SKF , Sweden ," Manufacture of fabricated metal products, except machinery and equipment (28) ",-1.82%,-0.0182,-0.022183805668016202,1,-0.03397954545454545,1,1.6759776536312998
2014, ABACUS PROPERTY GROUP , Australia ," Financial intermediation, except insurance and pension funding (65) ",-3.31%,-0.0331,-0.0200715181932246,-1,-0.03286305732484076,-1,
2013, ABB INDIA LTD , India , Manufacture of machinery and equipment n.e.c. (29) ,-42.75%,-0.4275,-0.035553125,-1,-0.03416875,-1,
2014, ABB INDIA LTD , India , Manufacture of machinery and equipment n.e.c. (29) ,-45.20%,-0.452,-0.035553125,-1,-0.033267741935483874,-1,5.730994152046787
2015, ABB INDIA LTD , India , Manufacture of machinery and equipment n.e.c. (29) ,-41.95%,-0.41950000000000004,-0.035553125,-1,-0.05671250000000001,-1,-7.1902654867256555
2010, ABB LIMITED , Switzerland ," Manufacture of radio, television and communication equipment and apparatus (32) ",-1.42%,-0.014199999999999999,-0.025163636363636367,1,-0.01401111111111111,-1,
2011, ABB LIMITED , Switzerland ," Manufacture of radio, television and communication equipment and apparatus (32) ",-1.55%,-0.0155,-0.025163636363636367,1,-0.021076190476190478,1,9.154929577464799
2012, ABB LIMITED , Switzerland ," Manufacture of radio, television and communication equipment and apparatus (32) ",-1.45%,-0.014499999999999999,-0.025163636363636367,1,-0.0194,1,-6.451612903225811
2013, ABB LIMITED , Switzerland ," Manufacture of radio, television and communication equipment and apparatus (32) ",-1.41%,-0.0141,-0.025163636363636367,1,-0.02484074074074074,1,-2.758620689655167
2014, ABB LIMITED , Switzerland ," Manufacture of radio, television and communication equipment and apparatus (32) ",-1.10%,-0.011000000000000001,-0.025163636363636367,1,-0.02760740740740741,1,-21.985815602836865
2015, ABB LIMITED , Switzerland ," Manufacture of radio, television and communication equipment and apparatus (32) ",-1.37%,-0.0137,-0.025163636363636367,1,-0.033978125,1,24.545454545454536
2010, ABBOTT LABORATORIES , United States ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-2.63%,-0.0263,-0.01728222891566265,-1,-0.011208510638297869,-1,
2011, ABBOTT LABORATORIES , United States ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-2.37%,-0.023700000000000002,-0.01728222891566265,-1,-0.011722222222222219,-1,-9.885931558935358
2013, ABBOTT LABORATORIES , United States ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-1.58%,-0.0158,-0.01728222891566265,1,-0.01868518518518519,1,-33.333333333333336
2014, ABBOTT LABORATORIES , United States ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-1.76%,-0.0176,-0.01728222891566265,-1,-0.020036206896551726,1,11.392405063291132
2015, ABBOTT LABORATORIES , United States ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-1.71%,-0.0171,-0.01728222891566265,1,-0.023799999999999995,1,-2.840909090909094
2016, ABBOTT LABORATORIES , United States ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-1.70%,-0.017,-0.01728222891566265,1,-0.016542857142857144,-1,-0.5847953216374213
2012, ABBVIE INC , United States , Research and development (73) ,-2.06%,-0.0206,-0.027154651162790713,1,-0.023018749999999998,1,
2013, ABBVIE INC , United States , Research and development (73) ,-1.71%,-0.0171,-0.027154651162790713,1,-0.02669375,1,-16.990291262135926
2014, ABBVIE INC , United States , Research and development (73) ,-1.59%,-0.0159,-0.027154651162790713,1,-0.029354545454545453,1,-7.017543859649122
2015, ABBVIE INC , United States , Research and development (73) ,-1.45%,-0.014499999999999999,-0.027154651162790713,1,-0.02140625,1,-8.80503144654089
2010, ABENGOA SOCIEDAD ANONIMA , Spain , Construction (45) ,-15.58%,-0.1558,-0.042405454545454566,-1,-0.06084310344827586,-1,
2011, ABENGOA SOCIEDAD ANONIMA , Spain , Construction (45) ,-14.44%,-0.1444,-0.042405454545454566,-1,-0.036939285714285716,-1,-7.317073170731703
2012, ABENGOA SOCIEDAD ANONIMA , Spain , Construction (45) ,-8.75%,-0.0875,-0.042405454545454566,-1,-0.01693731343283583,-1,-39.404432132964
2013, ABENGOA SOCIEDAD ANONIMA , Spain , Construction (45) ,-15.25%,-0.1525,-0.042405454545454566,-1,-0.041585135135135134,-1,74.28571428571429
2014, ABENGOA SOCIEDAD ANONIMA , Spain , Construction (45) ,-63.98%,-0.6397999999999999,-0.042405454545454566,-1,-0.04916707317073169,-1,319.5409836065573
2015, ABENGOA SOCIEDAD ANONIMA , Spain , Construction (45) ,-30.47%,-0.30469999999999997,-0.042405454545454566,-1,-0.04145624999999999,-1,-52.37574241950609
2016, ABENGOA SOCIEDAD ANONIMA , Spain , Construction (45) ,-75.89%,-0.7589,-0.042405454545454566,-1,-0.06524347826086956,-1,149.06465375779456
2010, ABERCROMBIE & FITCH CO , United States ," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-1.15%,-0.0115,-0.01559352331606218,1,-0.017266,1,
2011, ABERCROMBIE & FITCH CO , United States ," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.98%,-0.0098,-0.01559352331606218,1,-0.015813793103448277,1,-14.782608695652177
2012, ABERCROMBIE & FITCH CO , United States ," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.90%,-0.009000000000000001,-0.01559352331606218,1,-0.013698333333333335,1,-8.163265306122437
2013, ABERCROMBIE & FITCH CO , United States ," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.94%,-0.009399999999999999,-0.01559352331606218,1,-0.014529411764705881,1,4.4444444444444065
2012, ABM INDUSTRIES INCORPORATED , United States , Real estate activities (70) ,-0.43%,-0.0043,-0.09353862275449104,1,-0.08541800000000001,1,
2013, ABM INDUSTRIES INCORPORATED , United States , Real estate activities (70) ,-0.38%,-0.0038,-0.09353862275449104,1,-0.08511311475409836,1,-11.627906976744185
2014, ABM INDUSTRIES INCORPORATED , United States , Real estate activities (70) ,-0.36%,-0.0036,-0.09353862275449104,1,-0.08982537313432834,1,-5.263157894736848
2015, ABM INDUSTRIES INCORPORATED , United States , Real estate activities (70) ,-0.36%,-0.0036,-0.09353862275449104,1,-0.08339200000000001,1,0.0
2016, ABM INDUSTRIES INCORPORATED , United States , Real estate activities (70) ,-0.34%,-0.0034000000000000002,-0.09353862275449104,1,-0.08064545454545455,1,-5.5555555555555465
2011, ABOITIZ EQUITY VENTURES INC. , Philippines , Activities of membership organisation n.e.c. (91) ,-9.36%,-0.09359999999999999,-0.11756141732283461,1,-0.16999,1,
2012, ABOITIZ EQUITY VENTURES INC. , Philippines , Activities of membership organisation n.e.c. (91) ,-9.14%,-0.09140000000000001,-0.11756141732283461,1,-0.113075,1,-2.350427350427331
2016, ABOITIZ EQUITY VENTURES INC. , Philippines , Activities of membership organisation n.e.c. (91) ,-39.49%,-0.39490000000000003,-0.11756141732283461,-1,-0.154375,-1,332.0568927789934
2011, ABOITIZ POWER CORPORATION , Philippines , Production of electricity by hydro ,-11.04%,-0.1104,-1.1397074999999997,1,-1.2973833333333333,1,
2012, ABOITIZ POWER CORPORATION , Philippines , Production of electricity by hydro ,-10.83%,-0.10830000000000001,-1.1397074999999997,1,-0.8899555555555554,1,-1.90217391304347
2010, ABSA GROUP LTD , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-1.13%,-0.0113,-0.0200715181932246,1,-0.006401886792452835,-1,
2011, ABSA GROUP LTD , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-1.35%,-0.013500000000000002,-0.0200715181932246,1,-0.00983818181818182,-1,19.469026548672595
2012, ABSA GROUP LTD , South Africa ," Financial intermediation, except insurance and pension funding (65) ",2.53%,0.0253,-0.0200715181932246,1,-0.024436799999999998,1,-287.4074074074074
2013, ABSA GROUP LTD , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-1.25%,-0.0125,-0.0200715181932246,1,-0.025626760563380282,1,-149.40711462450594
2014, ABSA GROUP LTD , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-1.16%,-0.0116,-0.0200715181932246,1,-0.03286305732484076,1,-7.200000000000006
2015, ABSA GROUP LTD , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-0.98%,-0.0098,-0.0200715181932246,1,-0.013258677685950414,1,-15.517241379310342
2010, ACACIA MINING PLC , United Kingdom , Mining of other non-ferrous metal ores and concentrates ,-104.97%,-1.0497,-0.3063383999999999,-1,-0.29208571428571434,-1,
2011, ACACIA MINING PLC , United Kingdom , Mining of other non-ferrous metal ores and concentrates ,-17.44%,-0.1744,-0.3063383999999999,1,-0.2673333333333333,1,-83.3857292559779
2012, ACACIA MINING PLC , United Kingdom , Mining of other non-ferrous metal ores and concentrates ,-22.13%,-0.2213,-0.3063383999999999,1,-0.28771052631578947,1,26.892201834862384
2013, ACACIA MINING PLC , United Kingdom , Mining of other non-ferrous metal ores and concentrates ,-24.46%,-0.2446,-0.3063383999999999,1,-0.34987727272727265,1,10.528694080433798
2010, ACCENTURE PLC , Ireland , Computer and related activities (72) ,-0.26%,-0.0026,-0.007459477124183003,1,-0.006941666666666666,1,
2011, ACCENTURE PLC , Ireland , Computer and related activities (72) ,-0.24%,-0.0024,-0.007459477124183003,1,-0.00786923076923077,1,-7.692307692307699
2012, ACCENTURE PLC , Ireland , Computer and related activities (72) ,-0.24%,-0.0024,-0.007459477124183003,1,-0.007115384615384616,1,0.0
2013, ACCENTURE PLC , Ireland , Computer and related activities (72) ,-0.28%,-0.0028000000000000004,-0.007459477124183003,1,-0.008449019607843139,1,16.666666666666696
2014, ACCENTURE PLC , Ireland , Computer and related activities (72) ,-0.26%,-0.0026,-0.007459477124183003,1,-0.008566666666666667,1,-7.142857142857162
2015, ACCENTURE PLC , Ireland , Computer and related activities (72) ,-0.26%,-0.0026,-0.007459477124183003,1,-0.006508928571428573,1,0.0
2016, ACCENTURE PLC , Ireland , Computer and related activities (72) ,-0.27%,-0.0027,-0.007459477124183003,1,-0.005433333333333333,1,3.8461538461538547
2015, ACCIONA SA , Spain , Production of electricity nec ,-89.46%,-0.8946,-0.8072188235294113,-1,-0.9181302325581396,1,
2015, ACCO BRANDS CORPORATION , United States , Other service activities (93) ,-0.28%,-0.0028000000000000004,-0.051878827361563504,1,-0.030965517241379317,1,
2010, ACCOR , France , Other service activities (93) ,-8.06%,-0.0806,-0.051878827361563504,-1,-0.03208048780487805,-1,
2011, ACCOR , France , Other service activities (93) ,-4.42%,-0.044199999999999996,-0.051878827361563504,1,-0.07035000000000001,1,-45.16129032258065
2012, ACCOR , France , Other service activities (93) ,-5.61%,-0.056100000000000004,-0.051878827361563504,-1,-0.06019787234042555,1,26.923076923076938
2013, ACCOR , France , Other service activities (93) ,-7.12%,-0.0712,-0.051878827361563504,-1,-0.07437115384615382,1,26.916221033868084
2014, ACCOR , France , Other service activities (93) ,-9.14%,-0.09140000000000001,-0.051878827361563504,-1,-0.04886481481481481,-1,28.37078651685394
2015, ACCOR , France , Other service activities (93) ,-9.39%,-0.09390000000000001,-0.051878827361563504,-1,-0.030965517241379317,-1,2.7352297592997843
2011, ACEA SPA , Italy , Production of electricity nec ,-103.87%,-1.0387,-0.8072188235294113,-1,-0.7256825,-1,
2013, ACEA SPA , Italy , Production of electricity nec ,-77.97%,-0.7797,-0.8072188235294113,1,-0.7983071428571427,1,-24.935014922499278
2010, ACER INC , Taiwan , Manufacture of office machinery and computers (30) ,-0.19%,-0.0019,-0.014735897435897436,1,-0.00976451612903226,1,
2011, ACER INC , Taiwan , Manufacture of office machinery and computers (30) ,-0.10%,-0.001,-0.014735897435897436,1,-0.011394285714285714,1,-47.36842105263158
2012, ACER INC , Taiwan , Manufacture of office machinery and computers (30) ,-0.09%,-0.0009,-0.014735897435897436,1,-0.01238235294117647,1,-10.000000000000009
2013, ACER INC , Taiwan , Manufacture of office machinery and computers (30) ,-0.10%,-0.001,-0.014735897435897436,1,-0.016228205128205123,1,11.111111111111116
2014, ACER INC , Taiwan , Manufacture of office machinery and computers (30) ,-0.08%,-0.0008,-0.014735897435897436,1,-0.02130227272727273,1,-19.999999999999996
2015, ACER INC , Taiwan , Manufacture of office machinery and computers (30) ,-0.10%,-0.001,-0.014735897435897436,1,-0.014506666666666668,1,25.0
2010, ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA , Spain , Construction (45) ,-2.66%,-0.026600000000000002,-0.042405454545454566,1,-0.06084310344827586,1,
2011, ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA , Spain , Construction (45) ,-1.74%,-0.0174,-0.042405454545454566,1,-0.036939285714285716,1,-34.58646616541354
2014, ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA , Spain , Construction (45) ,-4.66%,-0.0466,-0.042405454545454566,-1,-0.04916707317073169,1,167.81609195402302
2015, ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA , Spain , Construction (45) ,-3.26%,-0.0326,-0.042405454545454566,1,-0.04145624999999999,1,-30.04291845493563
2014, AD PLASTIK DD , Croatia , Manufacture of machinery and equipment n.e.c. (29) ,-2.97%,-0.0297,-0.035553125,1,-0.033267741935483874,1,
2015, AD PLASTIK DD , Croatia , Manufacture of machinery and equipment n.e.c. (29) ,-3.34%,-0.0334,-0.035553125,1,-0.05671250000000001,1,12.457912457912457
2010, ADECCO GROUP AG , Switzerland , Activities auxiliary to financial intermediation (67) ,-0.14%,-0.0014000000000000002,-0.00517882352941176,1,-0.0044904761904761906,1,
2011, ADECCO GROUP AG , Switzerland , Activities auxiliary to financial intermediation (67) ,-0.14%,-0.0014000000000000002,-0.00517882352941176,1,-0.0068400000000000015,1,0.0
2012, ADECCO GROUP AG , Switzerland , Activities auxiliary to financial intermediation (67) ,-0.11%,-0.0011,-0.00517882352941176,1,-0.005138095238095238,1,-21.42857142857143
2013, ADECCO GROUP AG , Switzerland , Activities auxiliary to financial intermediation (67) ,-0.09%,-0.0009,-0.00517882352941176,1,-0.004893548387096775,1,-18.181818181818187
2014, ADECCO GROUP AG , Switzerland , Activities auxiliary to financial intermediation (67) ,-0.10%,-0.001,-0.00517882352941176,1,-0.004938235294117648,1,11.111111111111116
2015, ADECCO GROUP AG , Switzerland , Activities auxiliary to financial intermediation (67) ,-0.11%,-0.0011,-0.00517882352941176,1,-0.005859375,1,10.000000000000009
2010, ADEKA CORPORATION , Japan ," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-2.85%,-0.0285,-0.23060578947368415,1,-0.2253692307692308,1,
2011, ADEKA CORPORATION , Japan ," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-2.73%,-0.0273,-0.23060578947368415,1,-0.17646,1,-4.210526315789476
2012, ADEKA CORPORATION , Japan ," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-3.28%,-0.032799999999999996,-0.23060578947368415,1,-0.1886037037037037,1,20.146520146520118
2013, ADEKA CORPORATION , Japan ," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-3.71%,-0.0371,-0.23060578947368415,1,-0.20860344827586205,1,13.109756097560998
2014, ADEKA CORPORATION , Japan ," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-3.66%,-0.0366,-0.23060578947368415,1,-0.23839714285714284,1,-1.3477088948787075
2015, ADEKA CORPORATION , Japan ," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-3.33%,-0.0333,-0.23060578947368415,1,-0.30302500000000004,1,-9.016393442622938
2010, ADELAIDE BRIGHTON LIMITED , Australia , Quarrying of sand and clay ,-91.29%,-0.9129,-0.3842978947368422,-1,-0.31415000000000004,-1,
2011, ADELAIDE BRIGHTON LIMITED , Australia , Quarrying of sand and clay ,-86.53%,-0.8653,-0.3842978947368422,-1,-0.3821627906976745,-1,-5.214152700186226
2012, ADELAIDE BRIGHTON LIMITED , Australia , Quarrying of sand and clay ,-79.98%,-0.7998000000000001,-0.3842978947368422,-1,-0.39569111111111105,-1,-7.569629030394076
2013, ADELAIDE BRIGHTON LIMITED , Australia , Quarrying of sand and clay ,-85.52%,-0.8552,-0.3842978947368422,-1,-0.36756818181818185,-1,6.926731682920706
2014, ADELAIDE BRIGHTON LIMITED , Australia , Quarrying of sand and clay ,-76.08%,-0.7608,-0.3842978947368422,-1,-0.365275,-1,-11.03835360149672
2015, ADELAIDE BRIGHTON LIMITED , Australia , Quarrying of sand and clay ,-76.34%,-0.7634000000000001,-0.3842978947368422,-1,-0.45486200000000004,-1,0.34174553101997684
2010, ADMIRAL GROUP PLC , United Kingdom ," Insurance and pension funding, except compulsory social security (66) ",-0.22%,-0.0022,-0.0017385416666666667,-1,-0.0019000000000000002,-1,
2012, ADMIRAL GROUP PLC , United Kingdom ," Insurance and pension funding, except compulsory social security (66) ",-0.12%,-0.0012,-0.0017385416666666667,1,-0.0015470588235294118,1,-45.45454545454546
2013, ADMIRAL GROUP PLC , United Kingdom ," Insurance and pension funding, except compulsory social security (66) ",-0.13%,-0.0013,-0.0017385416666666667,1,-0.0017666666666666664,1,8.333333333333348
2014, ADMIRAL GROUP PLC , United Kingdom ," Insurance and pension funding, except compulsory social security (66) ",-0.13%,-0.0013,-0.0017385416666666667,1,-0.001685,1,0.0
2015, ADMIRAL GROUP PLC , United Kingdom ," Insurance and pension funding, except compulsory social security (66) ",-0.05%,-0.0005,-0.0017385416666666667,1,-0.002052941176470588,1,-61.53846153846154
2014, ADOBE INC , United States , Computer and related activities (72) ,-0.28%,-0.0028000000000000004,-0.007459477124183003,1,-0.008566666666666667,1,
2015, ADOBE INC , United States , Computer and related activities (72) ,-0.27%,-0.0027,-0.007459477124183003,1,-0.006508928571428573,1,-3.571428571428581
2013, ADVANCED CERAMIC X CORPORATION , Taiwan ," Manufacture of radio, television and communication equipment and apparatus (32) ",-5.83%,-0.0583,-0.025163636363636367,-1,-0.02484074074074074,-1,
2014, ADVANCED CERAMIC X CORPORATION , Taiwan ," Manufacture of radio, television and communication equipment and apparatus (32) ",-6.38%,-0.0638,-0.025163636363636367,-1,-0.02760740740740741,-1,9.433962264150942
2015, ADVANCED CERAMIC X CORPORATION , Taiwan ," Manufacture of radio, television and communication equipment and apparatus (32) ",-4.94%,-0.049400000000000006,-0.025163636363636367,-1,-0.033978125,-1,-22.570532915360488
2010, ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED , Thailand , Post and telecommunications (64) ,-1.87%,-0.0187,-0.018382111436950142,-1,-0.01888666666666667,1,
2014, ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED , Thailand , Post and telecommunications (64) ,-2.10%,-0.021,-0.018382111436950142,-1,-0.01970491803278689,-1,12.299465240641716
2015, ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED , Thailand , Post and telecommunications (64) ,-2.37%,-0.023700000000000002,-0.018382111436950142,-1,-0.019518571428571434,-1,12.857142857142856
2013, ADVANCED LITHIUM ELECTROCHEMISTRY(KY)CO LTD , Taiwan ," Manufacture of radio, television and communication equipment and apparatus (32) ",-13.97%,-0.13970000000000002,-0.025163636363636367,-1,-0.02484074074074074,-1,
2014, ADVANCED LITHIUM ELECTROCHEMISTRY(KY)CO LTD , Taiwan ," Manufacture of radio, television and communication equipment and apparatus (32) ",-13.06%,-0.1306,-0.025163636363636367,-1,-0.02760740740740741,-1,-6.513958482462434
2015, ADVANCED LITHIUM ELECTROCHEMISTRY(KY)CO LTD , Taiwan ," Manufacture of radio, television and communication equipment and apparatus (32) ",-11.23%,-0.11230000000000001,-0.025163636363636367,-1,-0.033978125,-1,-14.012251148545163
2016, ADVANCED LITHIUM ELECTROCHEMISTRY(KY)CO LTD , Taiwan ," Manufacture of radio, television and communication equipment and apparatus (32) ",-8.46%,-0.08460000000000001,-0.025163636363636367,-1,-0.0337,-1,-24.666073018699908
2010," ADVANCED MICRO DEVICES, INC. ", United States , Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.87%,-0.0087,-0.06319178403755871,1,-0.047122000000000004,1,
2011," ADVANCED MICRO DEVICES, INC. ", United States , Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.97%,-0.0097,-0.06319178403755871,1,-0.05650816326530612,1,11.494252873563227
2012," ADVANCED MICRO DEVICES, INC. ", United States , Manufacture of electrical machinery and apparatus n.e.c. (31) ,-1.13%,-0.0113,-0.06319178403755871,1,-0.05611311475409836,1,16.494845360824726
2013," ADVANCED MICRO DEVICES, INC. ", United States , Manufacture of electrical machinery and apparatus n.e.c. (31) ,-1.22%,-0.012199999999999999,-0.06319178403755871,1,-0.06449189189189189,1,7.964601769911495
2014," ADVANCED MICRO DEVICES, INC. ", United States , Manufacture of electrical machinery and apparatus n.e.c. (31) ,-1.14%,-0.011399999999999999,-0.06319178403755871,1,-0.06420581395348839,1,-6.557377049180335
2015," ADVANCED MICRO DEVICES, INC. ", United States , Manufacture of electrical machinery and apparatus n.e.c. (31) ,-1.59%,-0.0159,-0.06319178403755871,1,-0.07447191011235955,1,39.47368421052635
2011, ADVANTECH CO LTD , Taiwan , Manufacture of office machinery and computers (30) ,-0.07%,-0.0007000000000000001,-0.014735897435897436,1,-0.011394285714285714,1,
2012, ADVANTECH CO LTD , Taiwan , Manufacture of office machinery and computers (30) ,-0.24%,-0.0024,-0.014735897435897436,1,-0.01238235294117647,1,242.8571428571428
2013, ADVANTECH CO LTD , Taiwan , Manufacture of office machinery and computers (30) ,-0.22%,-0.0022,-0.014735897435897436,1,-0.016228205128205123,1,-8.333333333333314
2014, ADVANTECH CO LTD , Taiwan , Manufacture of office machinery and computers (30) ,-0.76%,-0.0076,-0.014735897435897436,1,-0.02130227272727273,1,245.4545454545454
2015, ADVANTECH CO LTD , Taiwan , Manufacture of office machinery and computers (30) ,-0.80%,-0.008,-0.014735897435897436,1,-0.014506666666666668,1,5.263157894736836
2010, ADVANTEST CORPORATION , Japan , Manufacture of electrical machinery and apparatus n.e.c. (31) ,-1.19%,-0.011899999999999999,-0.06319178403755871,1,-0.047122000000000004,1,
2011, ADVANTEST CORPORATION , Japan , Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.59%,-0.0059,-0.06319178403755871,1,-0.05650816326530612,1,-50.42016806722689
